HGNC_Approved_Symbol	HGNC_ID	pLI	LOEUF_gnomAD_v2.1.1	pHaplo	HI_score	Enhancer_Gnocchi	Mean_AlphaMissense_pathogenicity	Genovo_LOEUF_corrected	Curated_by_ClinGenSVI_group	Curated_from_G2P
RARB	HGNC:9865	0.99983	0.12	0.996622432	NA	-2.556486574	NA	0.125948492	FALSE	TRUE
LGI4	HGNC:18712	0.0071501	0.684	0.243714731	NA	3.322926471	0.426376449	0.693511993	TRUE	TRUE
TP53RK	HGNC:16197	0.00077469	1.651	0.210387229	NA	3.384303312	0.471078152	2.174756959	FALSE	TRUE
BHLHE41	HGNC:16617	0.99212	0.206	0.945621175	NA	3.483575729	0.409066518	0.517385394	FALSE	FALSE
MSH6	HGNC:7329	3.67E-05	0.498	0.606599176	3	1.827314899	0.423952675	0.853019241	TRUE	TRUE
COA8	HGNC:20492	0.00020615	1.25	0.782379494	NA	NA	0.366626664	1.905419056	FALSE	TRUE
NUP188	HGNC:17859	0.95428	0.297	0.974406608	NA	4.877959063	0.432806611	0.397842863	FALSE	FALSE
ACADSB	HGNC:91	2.66E-11	1.172	0.934976102	30	3.104581839	0.32037952	1.129082067	TRUE	FALSE
EPHB4	HGNC:3395	0.013497	0.422	0.560289011	NA	1.734292693	0.541986941	0.395911044	TRUE	FALSE
AQR	HGNC:29513	1	0.219	0.885070657	NA	1.812250773	0.549481491	0.236175289	FALSE	FALSE
GRIA3	HGNC:4573	NA	NA	NA	2	NA	0.66826745	NA	FALSE	TRUE
ECE1	HGNC:3146	0.95987	0.321	0.800370261	NA	4.591346929	0.504833491	0.342001826	FALSE	FALSE
KDM5A	HGNC:9886	1	0.163	0.995082813	NA	1.44734386	0.574369655	0.103932922	FALSE	FALSE
ACAT1	HGNC:93	9.85E-08	1.051	0.635875433	NA	2.155538749	0.464897336	1.614183044	FALSE	TRUE
PSEN1	HGNC:9508	0.97322	0.318	0.778398094	NA	2.834811562	0.515041723	0.351418865	FALSE	FALSE
COL1A2	HGNC:2198	1	0.202	0.944251201	0	1.836947603	0.460109431	0.169389173	TRUE	TRUE
TOMM40	HGNC:18001	0.99218	0.206	0.65753098	NA	NA	0.594304449	0.12581425	FALSE	FALSE
TMC6	HGNC:18021	5.86E-10	0.753	0.780462277	30	3.656084131	0.281414231	0.941752459	FALSE	TRUE
EPS15L1	HGNC:24634	0.99964	0.245	0.714483938	NA	4.181483355	0.41516769	0.204345965	FALSE	FALSE
CLN8	HGNC:2079	0.0035591	1.174	0.908631898	30	1.860944128	NA	1.022702367	FALSE	TRUE
ROBO3	HGNC:13433	2.00E-15	0.71	NA	30	3.520333956	0.451048843	0.71952378	FALSE	TRUE
DDHD2	HGNC:29106	1.43E-10	0.769	0.278204582	NA	3.542751713	0.482125289	0.648780634	FALSE	TRUE
HYAL2	HGNC:5321	NA	NA	0.259977779	NA	4.70190558	0.390235708	0.669295293	FALSE	TRUE
KERA	HGNC:6309	1.71E-07	1.492	0.329325921	30	-0.038371549	0.422467985	1.169125482	FALSE	TRUE
COL27A1	HGNC:22986	0.5864	0.312	0.974910774	NA	5.829740688	0.305720266	0.277038744	FALSE	TRUE
DHX37	HGNC:17210	0.99252	0.289	0.941677615	NA	NA	0.367607226	0.231458305	FALSE	FALSE
ZNF407	HGNC:19904	1	0.092	0.985021796	0	2.387845359	0.352050309	0.060414637	FALSE	FALSE
CCDC8	HGNC:25367	0.25395	0.83	0.572880157	30	2.447775502	0.280539689	NA	FALSE	TRUE
XPO7	HGNC:14108	1	0.12	0.991858383	NA	0.428680913	0.60313548	0.098805136	FALSE	FALSE
PTPRT	HGNC:9682	1	0.18	0.60492735	NA	4.105946226	0.573485685	0.095988033	FALSE	FALSE
HELLS	HGNC:4861	0.99979	0.239	0.954139987	NA	1.212620702	0.424757426	0.132324043	FALSE	FALSE
PTPRZ1	HGNC:9685	0.98997	0.286	0.875537983	NA	2.135125734	0.32435205	0.198923542	FALSE	FALSE
PDGFB	HGNC:8800	0.77006	0.463	0.861130858	NA	4.518096218	0.374217238	0.327346329	TRUE	FALSE
DNAJC3	HGNC:9439	0.017493	0.516	0.844060045	NA	1.692502355	0.462299685	0.502793419	TRUE	FALSE
SYNJ1	HGNC:11503	NA	NA	0.6686862	NA	2.716569289	NA	NA	TRUE	FALSE
U2AF2	HGNC:23156	0.9996	0.133	0.955063719	NA	NA	0.657347773	0.112605554	FALSE	FALSE
ADCY1	HGNC:232	0.99747	0.272	0.891810264	NA	4.113259327	0.509982496	0.171116884	FALSE	FALSE
BAZ1B	HGNC:961	1	0.109	0.986166654	NA	2.90978992	0.447085882	0.121453897	FALSE	FALSE
BBIP1	HGNC:28093	NA	NA	0.566343352	NA	3.442825985	0.270222697	2.750269976	FALSE	TRUE
ZBTB16	HGNC:12930	0.99907	0.193	0.975737693	NA	6.431069029	0.528718897	0.143228599	FALSE	FALSE
EYA3	HGNC:3521	0.99702	0.264	0.96440562	NA	3.589627403	0.442897817	0.299710948	FALSE	FALSE
CDC42BPB	HGNC:1738	1	0.12	0.994681164	1	1.662719877	0.460957751	0.108685114	FALSE	FALSE
TCN2	HGNC:11653	1.05E-06	0.93	0.256587449	30	2.793532314	0.272332509	1.111708942	FALSE	TRUE
FAM193B	HGNC:25524	0.9933	0.275	0.835948663	NA	NA	NA	0.393836247	FALSE	FALSE
MAN2C1	HGNC:6827	NA	NA	0.641839533	NA	0.725189344	0.412614294	1.308867266	FALSE	TRUE
PPA2	HGNC:28883	1.18E-10	1.275	0.169186855	NA	0.094435567	0.299121053	1.367085524	TRUE	FALSE
CEP85L	HGNC:21638	NA	NA	0.410511106	NA	2.952925756	0.296864584	0.558214634	FALSE	TRUE
SLC17A7	HGNC:16704	0.99988	0.116	0.949833619	NA	2.753168674	0.642710473	0.170104591	FALSE	FALSE
UBE2K	HGNC:4914	0.98621	0.231	0.872033856	NA	0.728446518	0.683163907	0.080597336	FALSE	FALSE
ERN1	HGNC:3449	0.99027	0.293	0.905687211	NA	3.027635821	0.457685874	0.202778489	FALSE	FALSE
EIF3D	HGNC:3278	0.99983	0.187	0.970271739	NA	2.409374609	0.64485986	0.125190661	FALSE	FALSE
VCAN	HGNC:2464	1	0.199	0.931041191	NA	2.109331773	0.247540252	0.126272166	FALSE	FALSE
DNAJC12	HGNC:28908	2.07E-06	1.341	0.113278495	NA	1.090974664	0.301405294	1.366099812	FALSE	TRUE
SCD	HGNC:10571	0.96968	0.312	0.885469692	NA	3.236750439	0.496042126	0.103445535	FALSE	FALSE
PNPO	HGNC:30260	NA	NA	0.210815555	NA	2.306174776	NA	NA	TRUE	TRUE
BUB1	HGNC:1148	4.88E-09	0.601	0.527173177	NA	4.151737327	0.27837773	0.682728653	FALSE	TRUE
HTT	HGNC:4851	1	0.176	0.995585579	NA	4.044337359	0.42894072	0.305808455	FALSE	FALSE
LIPA	HGNC:6617	5.53E-07	0.998	0.356779861	30	2.862705027	0.4211834	1.001139832	TRUE	FALSE
B3GALT6	HGNC:17978	0.022667	1.425	0.159246175	30	2.723454324	0.517611966	NA	FALSE	TRUE
COQ6	HGNC:20233	4.33E-15	1.328	0.167384233	NA	1.998849079	0.412904864	1.252162654	TRUE	FALSE
COL5A1	HGNC:2209	1	0.055	0.998987377	3	9.393274606	0.506927606	0.020709521	TRUE	TRUE
SP9	HGNC:30690	0.94003	0.335	0.847359779	NA	1.96262478	0.523944345	0.223911744	FALSE	FALSE
CLCN2	HGNC:2020	5.55E-12	0.769	0.777528276	NA	2.952059885	0.529315002	0.8255915	TRUE	TRUE
PEX16	HGNC:8857	NA	NA	0.11531945	30	2.358501563	0.404239244	0.706732914	FALSE	TRUE
SLC13A5	HGNC:23089	0.00050598	0.669	0.772241994	30	3.525951999	0.405383483	0.701220004	TRUE	TRUE
DCX	HGNC:2714	NA	NA	NA	3	NA	NA	NA	TRUE	TRUE
HTRA1	HGNC:9476	0.00049201	0.752	0.860724278	NA	3.870964613	0.533307806	0.607459992	TRUE	FALSE
CDK1	HGNC:1722	0.99206	0.207	0.852797353	NA	0.884032491	NA	0	FALSE	FALSE
NYX	HGNC:8082	NA	NA	NA	3	NA	0.335705904	NA	FALSE	TRUE
PRKAR2B	HGNC:9392	0.99713	0.22	0.842833665	NA	4.104029318	0.507583394	0.22624346	FALSE	FALSE
MSI1	HGNC:7330	0.99357	0.264	0.982657695	NA	2.917403394	0.625107996	0.074671619	FALSE	FALSE
ADAMTS2	HGNC:218	0.9661	0.311	0.974887756	30	6.612715783	0.445441691	0.274261429	FALSE	TRUE
XKR4	HGNC:29394	0.99912	0.192	0.599072897	NA	2.488299951	NA	0.091994413	FALSE	FALSE
RAB35	HGNC:9774	0.97845	0.254	0.806925723	NA	0.889699946	0.699766487	0.073109984	FALSE	FALSE
GALT	HGNC:4135	2.05E-06	0.864	0.39507026	30	3.650937681	0.476458861	1.020075144	TRUE	TRUE
EFTUD2	HGNC:30858	1	0.094	0.990991126	3	2.295304198	0.654160263	0.015567958	TRUE	TRUE
SLC25A20	HGNC:1421	1.20E-07	1.167	0.131444885	NA	3.526705379	0.563776187	0.946720281	FALSE	TRUE
ESCO2	HGNC:27230	3.16E-07	0.833	0.238844519	30	2.767971521	0.289434945	1.074935506	FALSE	TRUE
PAX1	HGNC:8615	NA	NA	0.945204841	30	1.228794404	0.396051569	NA	FALSE	TRUE
ADAMTS17	HGNC:17109	2.80E-15	0.732	0.962631595	30	2.678315445	0.429166407	0.594535948	FALSE	TRUE
PDZD7	HGNC:26257	NA	NA	0.330919274	NA	3.631645236	NA	NA	FALSE	TRUE
HEATR1	HGNC:25517	1	0.137	0.983431611	NA	3.553448404	0.309438091	0.124102429	FALSE	FALSE
SEC23B	HGNC:10702	NA	NA	0.614014964	30	-0.122332856	0.585274931	NA	FALSE	TRUE
ADAMTSL4	HGNC:19706	2.60E-28	1.093	0.251968051	NA	2.577432398	0.334668838	1.356644369	FALSE	TRUE
GPC3	HGNC:4451	NA	NA	NA	3	NA	0.4368089	NA	FALSE	TRUE
CD151	HGNC:1630	1.08E-05	1.086	0.550937565	NA	NA	NA	0.960621515	FALSE	TRUE
PAPOLG	HGNC:14982	0.9979	0.266	0.835932497	NA	1.049663194	0.522517662	0.255458421	FALSE	FALSE
PTPRQ	HGNC:9679	NA	NA	0.229532253	30	0.85666983	NA	NA	TRUE	FALSE
TUBB2B	HGNC:30829	0.9884	0.222	0.980998478	NA	5.14704296	0.821959491	0.063960495	FALSE	FALSE
CPSF6	HGNC:13871	0.99982	0.163	0.956714984	NA	1.323383815	0.588492932	0.051512154	FALSE	FALSE
FMR1	HGNC:3775	0.64718	0.417	NA	3	NA	0.624407623	NA	FALSE	TRUE
DYNC1I2	HGNC:2964	1.06E-08	0.769	0.406173299	NA	2.78796288	0.544475745	0.698408605	FALSE	TRUE
